ID;Orignal_name;Time;f__Actinidiaceae;g__Allium;s__Allium_cepa;s__Allium_rubellum;s__Allium_sativum;f__Anacardiaceae;s__Anacardium_occidentale;s__Ananas_comosus;s__Annona muricata;sf__Annonoideae;t__Anserineae;sf__Apioideae;s__Apium_graveolens;s__Arachis_hypogaea;f__Arecaceae;s__Asparagus_officinalis;sf__Aurantioideae;g__Avena;s__Bertholletia_excelsa;s__Brassica_oleracea.AB;s__Brassica_oleracea.AC;sf__Brassiceae;g__Capsicum;s__Carica_papaya;s__Ceratonia_siliqua;g__Cissus;s__Cocos_nucifera;g__Coffea;s__Coriandrum_sativum;s__Cucumis_melo;s__Cucumis_sativus;g__Cucurbita;s__Cucurbita_moschata;f__Cucurbitaceae.1;f__Cucurbitaceae.2;s__Cyamopsis_tetragonoloba;s__Eclipta prostrata;g__Ficus;g__Hordeum;indigoferoid_millettioid_clade;s__Lactuca_sativa;f__Lauraceae;s__Lens_culinaris;s__Linum_usitatissimum;t__Maleae;g__Mentha.1;g__Mentha.2;sf__Mentheae;g__Musa;s__Myristica_fragans;sf__Nepetoideae.1;sf__Nepetoideae.2;s__Ocimum_basilicum;s__Olea europaea;g__Oryza;s__Oryza_sativa.AY;s__Oryza_sativa.CP;g__Passiflora;g__Persea;s__Peucedanum_japonicum;g__Phaseolus;s__Pimpinella_anisum;g__Pinus;g__Piper;s__Pistacia_vera;s__Pisum_sativum;g__Prunus;s__Psidium_guajava;g__Pyrus;s__Raphanus_sativus;sf__Rosoideae;s__Rubus_boninensis;st__Salviinae;s__Sesamum_indicum;sf__Solanoideae;g__Solanum;s__Solanum_lycopersicum;s__Solanum_quitoense;g__Sorghum;s__Spinacia_tetrandra;s__Theobroma_cacao;t__Triticeae;g__Vaccinium;s__Vaccinium_macrocarpon;s__Vicia_faba;g__Vigna;s__Vigna_unguiculata;sf__Viteae;s__Zea_mays
2T1;UCH.02.2b.trnl;T1;-0.092494532;1.006117757;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;3.203342334;-0.092494532;4.018379333;-0.092494532;-0.092494532;3.571067115;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;5.739387946;5.666407242;-0.092494532;-0.092494532;-0.092494532;4.61703567;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;1.516943381;2.305400741;-0.092494532;2.851944448;-0.092494532;2.61555567;1.516943381;-0.092494532;-0.092494532;-0.092494532;2.851944448;-0.092494532;-0.092494532;3.203342334;-0.092494532;-0.092494532;-0.092494532;3.40401303;-0.092494532;3.571067115;-0.092494532;-0.092494532;-0.092494532;6.598347746;2.104730046;-0.092494532;-0.092494532;-0.092494532;-0.092494532;-0.092494532;3.042999684;3.799325767
2T2;UCH.02.2c.trnl.1;T2;-0.073136822;5.950310771;-0.073136822;-0.073136822;-0.073136822;3.360850382;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;5.885287871;-0.073136822;6.328780375;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;1.53630109;4.244351292;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;5.787649401;5.210066907;-0.073136822;-0.073136822;-0.073136822;6.223972498;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;1.025475467;7.473837295;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;3.482211239;-0.073136822;-0.073136822;-0.073136822;2.324758451;-0.073136822;5.436251515;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;4.755176915;-0.073136822;-0.073136822;-0.073136822;-0.073136822;-0.073136822;7.338419466;5.620595317;-0.073136822;-0.073136822;-0.073136822;-0.073136822;5.698304301;5.020613379;1.53630109
3T1;UCH.03.3b;T1;-0.215388803;3.498183264;-0.215388803;-0.215388803;1.730521346;-0.215388803;-0.215388803;-0.215388803;-0.215388803;-0.215388803;-0.215388803;3.151907027;1.730521346;4.018717702;-0.215388803;-0.215388803;-0.215388803;0.883223486;-0.215388803;2.18250647;-0.215388803;0.883223486;2.920105413;-0.215388803;-0.215388803;-0.215388803;-0.215388803;-0.215388803;2.492661398;-0.215388803;-0.215388803;-0.215388803;3.754903111;-0.215388803;-0.215388803;-0.215388803;-0.215388803;-0.215388803;-0.215388803;6.020980787;1.730521346;2.18250647;0.883223486;-0.215388803;4.546785132;-0.215388803;-0.215388803;1.39404911;1.730521346;0.883223486;4.65980852;-0.215388803;4.457440032;-0.215388803;-0.215388803;2.492661398;-0.215388803;2.18250647;-0.215388803;-0.215388803;2.349560555;-0.215388803;-0.215388803;1.981835775;-0.215388803;-0.215388803;3.754903111;3.151907027;-0.215388803;-0.215388803;3.591273687;-0.215388803;-0.215388803;-0.215388803;5.067814926;-0.215388803;3.080448063;-0.215388803;-0.215388803;-0.215388803;7.868865304;4.273247567;1.39404911;-0.215388803;-0.215388803;-0.215388803;-0.215388803;2.617824541;5.004967022
3T2;UCH.03.3c;T2;-0.179035435;1.430402477;0.919576854;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;0.919576854;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;1.430402477;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;2.218859838;-0.179035435;1.766874714;-0.179035435;0.919576854;-0.179035435;2.529014766;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;3.116801431;6.381995231;-0.179035435;-0.179035435;-0.179035435;5.073237993;-0.179035435;-0.179035435;0.919576854;7.206815643;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;6.095726586;-0.179035435;-0.179035435;-0.179035435;3.671112167;-0.179035435;4.838244402;-0.179035435;-0.179035435;-0.179035435;6.874550292;3.484526211;-0.179035435;-0.179035435;-0.179035435;-0.179035435;-0.179035435;1.430402477;5.53469737
4T1;UCH.04.4b.trnl;T1;-0.06464112;5.924320297;1.881269029;-0.06464112;1.881269029;1.033971169;-0.06464112;2.132583458;1.544796793;5.522607539;-0.06464112;7.934030241;2.500308238;-0.06464112;-0.06464112;-0.06464112;-0.06464112;6.811623492;-0.06464112;-0.06464112;-0.06464112;1.544796793;-0.06464112;-0.06464112;1.544796793;-0.06464112;-0.06464112;-0.06464112;2.643409081;-0.06464112;-0.06464112;-0.06464112;1.544796793;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;4.304806733;-0.06464112;2.132583458;-0.06464112;-0.06464112;7.379022563;-0.06464112;1.033971169;-0.06464112;-0.06464112;-0.06464112;-0.06464112;6.06440909;2.879797859;-0.06464112;-0.06464112;-0.06464112;1.544796793;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;5.552129978;-0.06464112;-0.06464112;-0.06464112;4.046232744;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;5.9732298;4.680291009;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;-0.06464112;2.768572224
4T2;UCH.04.4c.trnl;T2;-0.054124888;7.716942198;1.044487401;1.044487401;4.023412556;-0.054124888;-0.054124888;1.891785261;-0.054124888;-0.054124888;-0.054124888;3.953208298;1.044487401;-0.054124888;-0.054124888;-0.054124888;-0.054124888;1.044487401;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;7.113684297;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;1.044487401;-0.054124888;-0.054124888;-0.054124888;-0.054124888;1.555313025;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;1.044487401;3.953208298;-0.054124888;8.054498381;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;4.936307699;-0.054124888;-0.054124888;-0.054124888;1.891785261;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;4.560995629;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;5.646318686;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;4.179981617;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888;-0.054124888
5T1;UCH.05.5b;T1;-0.150370168;0.94824212;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;4.403506723;-0.150370168;0.94824212;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;8.302604451;3.460547744;3.656292322;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;2.414579189;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;3.513191478;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;3.699777433;-0.150370168;2.89415227;-0.150370168;3.927167276;-0.150370168;-0.150370168;0.94824212;-0.150370168;1.459067744;1.459067744;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;1.795539981;-0.150370168;-0.150370168;2.046854409;-0.150370168;-0.150370168;-0.150370168;1.795539981;-0.150370168;0.94824212;-0.150370168;-0.150370168;-0.150370168;7.22174786;2.046854409;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;-0.150370168;4.444749682
5T2;UCH.05.5c;T2;1.812440279;1.475968043;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;3.977403994;-0.13346987;4.0409174;4.260979285;0.965142419;-0.13346987;-0.13346987;-0.13346987;2.063754708;-0.13346987;2.574580331;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;4.678714486;-0.13346987;1.812440279;-0.13346987;-0.13346987;-0.13346987;-0.13346987;1.475968043;-0.13346987;-0.13346987;-0.13346987;4.100636635;0.965142419;1.812440279;-0.13346987;-0.13346987;0.965142419;-0.13346987;-0.13346987;-0.13346987;7.886471818;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;2.063754708;-0.13346987;-0.13346987;0.965142419;-0.13346987;0.965142419;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;7.579421092;-0.13346987;-0.13346987;-0.13346987;2.431479488;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;7.064713707;3.798355763;-0.13346987;-0.13346987;-0.13346987;-0.13346987;-0.13346987;2.431479488;3.627730246
7T1;UCH.07.7b.trnl;T1;-0.114309185;2.283586087;-0.114309185;-0.114309185;-0.114309185;3.692353304;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;5.735015595;-0.114309185;2.450640172;-0.114309185;-0.114309185;-0.114309185;4.480810665;-0.114309185;-0.114309185;-0.114309185;3.599262881;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;3.549252461;8.105824772;-0.114309185;3.382198376;-0.114309185;-0.114309185;6.253878001;6.069839706;-0.114309185;2.593741016;-0.114309185;2.082915392;-0.114309185;-0.114309185;2.830129794;-0.114309185;1.495128727;-0.114309185;0.984303103;4.028825541;-0.114309185;1.495128727;3.777511113;-0.114309185;-0.114309185;-0.114309185;5.395079151;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;4.820164748;-0.114309185;4.418290308;-0.114309185;-0.114309185;-0.114309185;5.879652242;2.082915392;-0.114309185;-0.114309185;-0.114309185;-0.114309185;-0.114309185;0.984303103;5.283853516
7T2;UCH.07.7c.trnl;T2;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;3.976515755;-0.066535513;4.46606398;-0.066535513;-0.066535513;-0.066535513;4.011001931;2.498413844;1.032076776;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;1.032076776;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;4.910198229;-0.066535513;-0.066535513;5.185737915;-0.066535513;8.663346772;-0.066535513;-0.066535513;1.542902399;5.42652593;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;3.068958703;-0.066535513;-0.066535513;5.855042907;-0.066535513;-0.066535513;-0.066535513;1.032076776;1.032076776;-0.066535513;-0.066535513;4.376115743;3.825284785;1.542902399;1.542902399;-0.066535513;-0.066535513;-0.066535513;1.542902399;3.825284785;-0.066535513;1.542902399;1.879374636;-0.066535513;-0.066535513;5.051458299;1.542902399;-0.066535513;-0.066535513;-0.066535513;-0.066535513;-0.066535513;2.977986925;2.977986925
