ID;Aromatic, spices and coffee;Cereals;Fruits;Legumes;Vegetables;plant-based fats
2T1;0.014801329;1.080615686;0.867126526;0.328139608;0.477351352;1.510111853
2T2;-0.073136822;2.665260822;1.190080401;0.751354767;0.761058215;1.45665323
3T1;1.313047346;1.474068033;0.937537527;0.307977147;1.133965863;0.904462162
3T2;0.097173547;0.993126371;0.758367336;-0.179035435;0.866341746;0.68019011
4T1;0.868862775;2.876346289;1.06125388;0.165278582;0.647386466;0.881478768
4T2;1.031280968;1.236269035;0.729340401;0.223862276;0.757352003;-0.054124888
5T1;0.799022241;0.835999421;0.293807924;-0.150370168;0.83741807;0.766008762
5T2;0.595362248;1.377464493;0.944150425;0.023474743;0.666530318;0.720658144
7T1;1.530902061;1.777559078;0.910276638;1.808816668;0.369512035;0.810086151
7T2;0.456778738;1.416838488;1.204583952;0.683789262;0.355929117;1.828480058
8T1;0.399920558;0.468970176;0.849049739;-0.054387425;0.21707192;0.611783524
8T2;0.407288942;1.330222374;0.549373631;0.445695405;0.439184677;0.324097202
9T1;0.244287787;2.119379687;1.061805713;0.820805986;0.600797316;1.358793081
9T2;0.878157302;2.554171884;1.025978868;-0.080998399;0.860807634;1.143690287
10T1;0.729635534;1.418001677;0.633530969;0.063493021;0.170596157;1.211240566
10T2;0.672795666;0.874184298;0.723365789;0.620979207;0.18804476;1.392990988
11T1;0.662426985;2.491935152;1.021992858;1.492566164;1.119333162;1.699747456
11T2;0.492077075;2.19413115;1.073461266;0.59687854;0.456621033;1.131864975
12T1;0.739497473;1.720246629;1.436618759;0.97330512;0.565200975;1.278153717
12T2;0.571846492;2.77859459;1.079281512;0.96386824;0.165649218;1.102342223
13T1;0.541211647;1.299637306;0.770489722;0.312596768;0.966959021;1.56012972
13T2;1.753381039;1.303832649;0.732441382;0.131626152;0.918895796;0.651453728
15T1;0.035987749;1.114220279;0.474394944;0.547785547;0.857499089;1.239893612
15T2;0.131086473;1.193600306;0.848640409;0.089354267;0.257076151;0.363671288
16T1;0.386062694;0.823308234;1.486566408;0.871628683;0.407269192;0.642919825
16T2;0.194017163;1.09391259;0.597980257;0.339933594;0.124686754;0.338281039
17T1;-0.116231665;2.111179139;1.202572104;0.744960373;0.334005199;0.293546241
17T2;0.425934712;1.383500697;0.709225667;0.831487767;0.520546675;0.491736006
18T1;0.663324446;2.431066372;0.998277097;0.881282781;0.596763653;0.69905464
18T2;0.67528644;1.609525452;0.737042808;0.862696985;0.653253074;1.173809476
19T1;0.439137224;1.75952184;1.036257629;0.694721767;0.816607363;0.711946891
19T2;0.55037358;1.100165882;0.310881007;-0.079389062;0.309425064;0.704372121
20T1;0.490009786;1.809895531;1.082676194;1.183053206;0.515195133;1.651823465
20T2;0.36806027;1.227207652;0.981537188;0.211733255;0.565964089;0.902525797
21T1;0.399815247;1.516639144;0.793044173;1.371165358;0.664949576;0.706438775
21T2;0.38665671;1.23776865;0.779926869;0.19854971;0.615108108;0.365870015
