OTU;Kingdom;Phylum;Class;Order;Family;Genus;Species
Otu001;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Actinidiaceae;f__Actinidiaceae;f__Actinidiaceae
Otu002;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;g__Allium
Otu003;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium_cepa
Otu004;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium_rubellum
Otu005;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asparagales;f__Amaryllidaceae;g__Allium;s__Allium_sativum
Otu006;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Anacardiaceae;f__Anacardiaceae;f__Anacardiaceae
Otu007;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Anacardiaceae;g__Anacardium;s__Anacardium_occidentale
Otu008;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Bromeliaceae;g__Ananas;s__Ananas_comosus
Otu009;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__ Magnoliales;f__Annonaceae;sf__Annona;s__Annona muricata
Otu010;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Magnoliales;f__Annonaceae;sf__Annonoideae;sf__Annonoideae
Otu011;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;t__Anserineae;t__Anserineae
Otu012;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;sf__Apioideae;sf__Apioideae
Otu013;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Apium;s__Apium_graveolens
Otu014;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Arachis;s__Arachis_hypogaea
Otu015;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Arecales;f__Arecaceae;f__Arecaceae;f__Arecaceae
Otu016;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__ Asparagales;f__ Asparagaceae;g__Asparagus;s__Asparagus_officinalis
Otu018;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Rutaceae;sf__Aurantioideae;sf__Aurantioideae
Otu019;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Avena;g__Avena
Otu020;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Lecythidaceae;g__Bertholletia;s__Bertholletia_excelsa
Otu023;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_oleracea
Otu024;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Brassica;s__Brassica_oleracea
Otu026;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;sf__Brassiceae;sf__Brassiceae
Otu027;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Capsicum;g__Capsicum
Otu028;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Caricaceae;g__Carica;s__Carica_papaya
Otu029;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Ceratonia;s__Ceratonia_siliqua
Otu031;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Vitales;f__Vitaceae;g__Cissus;g__Cissus
Otu032;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Arecales;f__Arecaceae;g__Cocos nucifera;s__Cocos_nucifera
Otu033;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Gentianales;f__Rubiaceae;g__Coffea;g__Coffea
Otu034;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Coriandrum;s__Coriandrum_sativum
Otu037;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucumis;s__Cucumis_melo
Otu038;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucumis;s__Cucumis_sativus
Otu039;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;g__Cucurbita
Otu040;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;g__Cucurbita;s__Cucurbita_moschata
Otu041;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;f__Cucurbitaceae;f__Cucurbitaceae
Otu042;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Cucurbitales;f__Cucurbitaceae;f__Cucurbitaceae;f__Cucurbitaceae
Otu045;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Cyamopsis;s__Cyamopsis_tetragonoloba
Otu046;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Eclipta;s__Cicer_Eclipta prostrata
Otu047;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Moraceae;g__Ficus;g__Ficus
Otu048;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Hordeum;g__Hordeum
Otu049;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;indigoferoid_millettioid_clade;indigoferoid_millettioid_clade
Otu051;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Asterales;f__Asteraceae;g__Lactuca;s__Lactuca_sativa
Otu052;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Laurales;f__Lauraceae;f__Lauraceae;f__Lauraceae
Otu053;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Lens;s__Lens_culinaris
Otu054;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Linaceae;g__Linum;s__Linum_usitatissimum
Otu056;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;sf__Amygdaloideae;t__Maleae
Otu057;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Mentha;g__Mentha
Otu058;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Mentha;g__Mentha
Otu059;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;sf__Mentheae;sf__Mentheae
Otu060;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Zingiberales;f__Musaceae;g__Musa;g__Musa
Otu061;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Magnoliales;f__Myristicaceae;g__Myristica;s__Myristica_fragans
Otu062;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;sf__Nepetoideae;sf__Nepetoideae
Otu063;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;sf__Nepetoideae;sf__Nepetoideae
Otu064;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Lamiaceae;g__Ocimum;s__Ocimum_basilicum
Otu065;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Oleaceae;g__Olea;s__Olea europaea
Otu066;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Oryza;g__Oryza
Otu067;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Oryza;s__Oryza_sativa
Otu068;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Oryza;s__Oryza_sativa
Otu069;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malpighiales;f__Passifloraceae;g__Passiflora;g__Passiflora
Otu070;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Laurales;f__Lauraceae;g__Persea;g__Persea
Otu071;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Peucedanum;s__Peucedanum_japonicum
Otu072;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Phaseolus;g__Phaseolus
Otu073;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Apiales;f__Apiaceae;g__Pimpinella;s__Pimpinella_anisum
Otu074;k__Viridiplantae;p__Streptophyta;c__ Coniferae;o__Pinales;f__Pinaceae;g__Pinus;g__Pinus
Otu075;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Piperales;f__Piperaceae;g__Piper;g__Piper
Otu076;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Sapindales;f__Anacardiaceae;g__Pistacia;s__Pistacia_vera
Otu077;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Pisum;s__Pisum_sativum
Otu078;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Prunus;g__Prunus
Otu079;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Myrtales;f__Myrtaceae;g__Psidium;s__Psidium_guajava
Otu080;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Pyrus;g__Pyrus
Otu081;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Brassicales;f__Brassicaceae;g__Raphanus;s__Raphanus_sativus
Otu082;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;sf__Rosoideae;sf__Rosoideae
Otu083;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Rosales;f__Rosaceae;g__Rubus;s__Rubus_boninensis
Otu085;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__ Lamiales;f__Lamiaceae;st__Salviinae;st__Salviinae
Otu086;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Lamiales;f__Pedaliaceae;g__Sesamum;s__Sesamum_indicum
Otu088;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;sf__Solanoideae;sf__Solanoideae
Otu089;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;g__Solanum
Otu090;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum_lycopersicum
Otu091;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Solanales;f__Solanaceae;g__Solanum;s__Solanum_quitoense
Otu092;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;g__Sorghum;g__Sorghum
Otu093;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Caryophyllales;f__Chenopodiaceae;g__Spinacia;s__Spinacia_tetrandra
Otu094;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Malvales;f__Malvaceae;g__Theobroma;s__Theobroma_cacao
Otu095;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Poales;f__Poaceae;t__Triticeae;t__Triticeae
Otu096;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ericaceae;g__Vaccinium;g__Vaccinium
Otu097;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Ericales;f__Ericaceae;g__Vaccinium;s__Vaccinium_macrocarpon
Otu098;k__Viridiplantae;p__Streptophyta;c__Magnoliopsida;o__Fabales;f__Fabaceae;g__Vicia;s__Vicia_faba
