OTU;Domain;Phylum;Class;Order;Family;Genus;Species;unique;;;;Phylum;Class;Order;Family;Genus;Species;;Family;;;Genus;;;Species;
Otu0001;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella copri_E;Otu0001;;;Otu0523;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;Lachnospiraceae;86;49.7;Lachnospiraceae;39;;Lachnospiraceae;39
Otu0002;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;Otu0002;;;Otu0646;Bacillota_A;Clostridia;Christensenellales;CAG-917;CAG-349;CAG-349 sp003539515;;Oscillospiraceae;16;9.2;Oscillospiraceae;6;;Oscillospiraceae;6
Otu0003;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola sp959599425;Otu0003;;;Otu0680;Bacillota_A;Clostridia;Oscillospirales;Oscillospiraceae;Oscillospiraceae;Oscillospiraceae;;Bacteroidaceae;14;8.1;Phocaeicola;6;;Bacteroides;4
Otu0004;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii_D;Otu0004;;;Otu0724;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia_D;Roseburia_D yibonii;;Ruminococcaceae;14;8.1;Bacteroides;5;;Roseburia_C amylophila;4
Otu0005;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A sp003471165;Otu0005;;;Otu0854;Bacillota_A;Clostridia;Christensenellales;CAG-138;SFEL01;SFEL01 sp004557245;;UBA660;5;2.9;Agathobacter;4;;Blautia_A;4
Otu0006;Bacteria;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae;Catenibacterium;Catenibacterium faecis;Otu0006;;;Otu0867;Bacillota_A;Clostridia;Christensenellales;Aristaeellaceae;UBA11524;UBA11524 sp000437595;;Aristaeellaceae;4;2.3;Roseburia_C;4;;UBA11524 sp000437595;3
Otu0007;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides stercoris;Otu0007;;;Otu0900;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella ruminicola;;Acutalibacteraceae;4;2.3;Lachnospira;4;;Ruminococcus_C callidus;3
Otu0009;Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium adolescentis;Otu0009;;;Otu0921;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter;Mediterraneibacter;;Anaerotignaceae;3;1.7;Blautia_A;4;;Faecalibacillus intestinalis;3
Otu0010;Bacteria;Bacillota_C;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas;Megamonas funiformis;Otu0010;;;Otu0931;Bacillota_I;Bacilli_A;RF39;UBA660;UMGS1498;UMGS1498 sp934153945;;Coprobacillaceae;3;1.7;UBA11524;3;;Oscillospirales;3
Otu0011;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella hominis;Otu0011;;;Otu0968;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;Elusimicrobiaceae;3;1.7;Prevotella;3;;Ruminococcaceae;3
Otu0012;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola plebeius_A;Otu0012;;;Otu0973;Bacillota_A;Clostridia;Lachnospirales;Anaerotignaceae;Fimicola;Fimicola cottocaccae;;Oscillospirales;3;1.7;Mediterraneibacter;3;;Phocaeicola vulgatus;3
Otu0013;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans;Otu0013;;;Otu0988;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;CAG-272;3;1.7;Ruminococcus_C;3;;CAG-349 sp003539515;2
Otu0014;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Blautia_A;Blautia_A fusiformis;Otu0014;;;Otu1016;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus_C;Ruminococcus_C callidus;;Clostridia;3;1.7;Faecalibacillus;3;;UMGS1498 sp934153945;2
Otu0015;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Acutalibacteraceae;Ruminococcus_E;Ruminococcus_E intestinalis;Otu0015;;;Otu1064;Bacillota_I;Bacilli_A;Erysipelotrichales;Coprobacillaceae;Faecalibacillus;Faecalibacillus intestinalis;;CAG-917;2;1.2;Avelusimicrobium;3;;Fimicola cottocaccae;2
Otu0016;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola massiliensis;Otu0016;;;Otu1066;Elusimicrobiota;Elusimicrobia;Elusimicrobiales;Elusimicrobiaceae;Avelusimicrobium;Avelusimicrobium sp002329395;;CAG-508;2;1.2;Oscillospirales;3;;Eubacterium_G segne;2
Otu0017;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides uniformis;Otu0017;;;Otu1069;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;Clostridiaceae;2;1.2;Eubacterium_F;3;;Lachnospira;2
Otu0018;Bacteria;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Anaerobutyricum;Anaerobutyricum hallii;Otu0018;;;Otu1084;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Agathobacter;Agathobacter rectalis;;Dialisteraceae;2;1.2;Eubacterium_G;3;;Agathobacter;2
Otu0019;Bacteria;Bacillota_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger qucibialis;Otu0019;;;Otu1155;Bacillota_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;Lachnospiraceae;;CAG-138;1;0.6;Ruminococcus_E;3;;Roseburia_D yibonii;1
