ID;Group;Two_Metabolome.type;Microbiota.profile;Two_Diet.Type_Dendrogram;Three_Diet.Type_PC1_PC2;Two_Diet.Type_PC1_PC2;Arrow_block;Four_Metabolome.type;Batch_tRNL
2T1;T1;M2;B2;D2;D3;D2;D2;M4;L1
2T2;T2;M2;B2;D1;D3;D1;D2;M3;L1
3T1;T1;M1;B2;D1;D2;D2;D1;M3;L2
3T2;T2;M2;B2;D2;D2;D2;D1;M4;L2
4T1;T1;M2;B1;D1;D1;D1;D2;M3;L1
4T2;T2;M2;B1;D1;D1;D1;D2;M4;L1
5T1;T1;M1;B1;D2;D3;D2;D1;M1;L2
5T2;T2;M2;B1;D2;D1;D1;D2;M4;L2
7T1;T1;M2;B3;D2;D2;D2;D1;M1;L1
7T2;T2;M2;B3;D1;D3;D2;D2;M3;L1
8T1;T1;M1;B3;D2;D3;D2;D1;M1;L2
8T2;T2;M2;B3;D2;D2;D2;D1;M1;L2
9T1;T1;M1;B1;D1;D2;D2;D1;M2;L1
9T2;T2;M1;B1;D1;D1;D1;D1;M2;L1
10T1;T1;M1;B1;D2;D2;D2;D1;M2;L2
10T2;T2;M2;B3;D2;D2;D2;D2;M3;L2
11T1;T1;M1;B3;D1;D1;D1;D1;M1;L1
11T2;T2;M2;B3;D1;D1;D1;D1;M1;L1
12T1;T1;M1;B2;D1;D3;D2;D2;M2;L2
12T2;T2;M1;B2;D1;D1;D1;D1;M1;L2
13T1;T1;M1;B1;D1;D1;D1;D1;M2;L1
13T2;T2;M2;B1;D1;D2;D2;D2;M3;L1
15T1;T1;M1;B3;D2;D3;D2;D2;M2;L2
15T2;T2;M2;B3;D2;D1;D1;D2;M4;L2
16T1;T1;M1;B2;D2;D3;D2;D2;M3;L2
16T2;T2;M2;B2;D2;D2;D2;D2;M4;L2
17T1;T1;M1;B3;D2;D3;D2;D1;M2;L2
17T2;T2;M2;B3;D2;D2;D2;D2;M3;L2
18T1;T1;M2;B3;D2;D1;D1;D1;M1;L1
18T2;T2;M2;B3;D1;D1;D1;D1;M4;L1
19T1;T1;M1;B1;D2;D1;D1;D1;M2;L2
19T2;T2;M1;B1;D2;D2;D2;D2;M2;L2
20T1;T1;M1;B2;D1;D2;D2;D1;M2;L1
20T2;T2;M2;B2;D2;D3;D2;D2;M4;L1
21T1;T1;M1;B2;D2;D1;D1;D1;M3;L2
21T2;T2;M2;B2;D2;D2;D2;D2;M3;L2
